string,center,score
eiarntg,r,3898
eiarntg,n,3782
eiarntg,e,3769
eiarntd,e,3672
eiarntg,t,3421
eiarntg,i,3406
eiarntg,a,3372
eiarndg,e,3271
eiarndg,r,3236
eiartld,e,3194
eiarntd,r,3155
eiarntg,g,3095
earntdp,e,3060
eiartdc,e,3023
eiarntd,t,3017
eartldp,e,3005
earntdg,e,3001
eiarntl,e,2983
eiarntc,t,2972
eiartdp,e,2961
eiarntc,e,2945
eirntdg,e,2911
earntdc,e,2910
eiarntc,r,2909
eiarndg,n,2898
eiarndg,g,2890
eiarntp,e,2886
eiartdc,r,2865
eiarntl,t,2856
eiarntm,e,2837
eiartdm,e,2826
eiartdp,r,2759
eartldb,e,2758
eiartld,r,2758
eiarntm,t,2749
eartodp,e,2719
eiarntc,a,2679
eartodp,r,2660
eiartlp,e,2653
earntdm,e,2652
eiarntp,r,2642
earntld,e,2636
eiarntd,a,2627
eiarndg,d,2626
eiarntl,r,2623
earntdg,r,2620
eiarntp,t,2610
eartldc,e,2608
earntdu,e,2606
eiartdb,e,2605
eartldp,a,2601
eiarldp,e,2592
eiarldb,e,2581
eiarndg,i,2575
eirntdp,e,2574
eiarnto,t,2570
eartldg,e,2555
eiarntl,a,2553
earntod,e,2526
eartdch,e,2524
eiarntd,n,2515
eiarntm,r,2514
eirntdg,i,2490
eiartdm,r,2487
eirntdc,e,2486
eirntdm,e,2479
eartdmp,e,2478
eartodc,e,2476
eiartdg,e,2475
earntdp,a,2467
eiartlb,e,2465
earntdp,r,2464
eartdcp,e,2459
eirntod,e,2454
earntlp,e,2453
earntdg,a,2451
eiarnlg,g,2448
eiarndg,a,2446
eiartld,a,2442
eartldb,a,2433
eiarntd,d,2427
eiarntd,i,2423
eiartdc,a,2423
eirntdg,r,2421
eiarntc,n,2414
eiartdb,r,2398
earntdb,e,2397
eirntdu,e,2390
eartodc,r,2387
earntdc,a,2382
eiartlm,e,2374
eirntdg,n,2369
eiantlg,n,2365
eiartlc,e,2363
eirntld,e,2363
eiarntm,a,2363
earntdc,r,2362
eartldm,e,2361
eiartdg,r,2353
eiartlp,r,2344
eiarnlg,n,2343
eartlod,e,2338
eiartdc,t,2333
earldgb,e,2328
earnldg,e,2323
eirnldg,e,2317
earntlp,a,2315
eartdgp,e,2313
eiarntc,i,2311
eiarnto,r,2310
eiarntp,a,2307
earntoc,t,2306
eirntoc,e,2296
eiartld,t,2286
eiarnlg,e,2285
eiarldg,e,2281
eiartcp,r,2280
eartldc,a,2273
earndgm,e,2263
eartldp,r,2261
eirnldg,i,2260
eartdch,a,2255
eiartlp,a,2254
eiarnlg,a,2251
eartdmp,r,2251
eiartlc,r,2251
eiartdc,d,2246
eiarnlg,i,2245
eirntlg,e,2242
eartdcp,r,2241
earntdh,e,2240
eiartdh,e,2236
eiartcp,e,2235
eartdgm,e,2232
eiarntl,i,2231
erntodc,e,2230
eartodg,e,2226
earntlc,e,2225
earntdm,a,2223
eirntoc,t,2223
eiartlc,a,2221
earntod,r,2218
eartlcp,e,2217
earntlg,e,2212
earntdc,t,2203
eiartlb,r,2197
eiantlg,i,2193
eiartlm,r,2190
earntoc,r,2188
eartdch,r,2187
earntld,a,2186
eirntlg,i,2185
earntdp,t,2184
eartdup,e,2183
eiartlp,t,2183
eartodm,e,2181
eiartlc,t,2181
earntcp,e,2173
eiarntm,i,2172
eiartdp,a,2171
earldpb,e,2168
eirndgp,e,2167
eiarntm,n,2159
earntlc,a,2158
eartldc,r,2158
eiarnlg,r,2158
earlodp,e,2153
eiarntl,n,2153
eartldg,a,2152
eartdph,e,2151
eiartld,d,2150
eiartod,r,2149
eartodg,r,2147
eartdgb,e,2145
eirntoc,r,2144
eiartlb,a,2143
earntoc,e,2142
eiartmp,e,2140
eiarnld,e,2140
earnldp,e,2139
eartdgp,r,2136
eartodb,e,2134
earldgp,e,2133
eiarntb,e,2131
eiartmp,r,2130
eiarldc,e,2128
eartdmp,a,2128
eartlop,e,2127
eiarldp,r,2124
eiarnto,e,2122
eirnodg,e,2120
